card_number,user_id,expiry,card_type,card_limit
4111000000000000,100,2029-03-31,Visa,5000.0
4111000000000001,101,2029-03-31,Visa,5000.0
4111000000000002,102,2029-03-31,Visa,5000.0
4111000000000003,103,2029-03-31,Visa,5000.0
4111000000000004,104,2029-03-31,Visa,5000.0
4111000000000005,105,2029-03-31,Visa,5000.0
4111000000000006,106,2029-03-31,Visa,5000.0
4111000000000007,107,2029-03-31,Visa,5000.0
4111000000000008,108,2029-03-31,Visa,5000.0
4111000000000009,109,2029-03-31,Visa,5000.0
4111000000000010,110,2029-03-31,Visa,5000.0
4111000000000011,111,2029-03-31,Visa,5000.0
4111000000000012,112,2029-03-31,Visa,5000.0
4111000000000013,113,2029-03-31,Visa,5000.0
4111000000000014,114,2029-03-31,Visa,5000.0
4111000000000015,115,2029-03-31,Visa,5000.0
4111000000000016,116,2029-03-31,Visa,5000.0
4111000000000017,117,2029-03-31,Visa,5000.0
4111000000000018,118,2029-03-31,Visa,5000.0
4111000000000019,119,2029-03-31,Visa,5000.0
4111000000000020,120,2029-03-31,Visa,5000.0
4111000000000021,121,2029-03-31,Visa,5000.0
4111000000000022,122,2029-03-31,Visa,5000.0
4111000000000023,123,2029-03-31,Visa,5000.0
4111000000000024,124,2029-03-31,Visa,5000.0
4111000000000025,125,2029-03-31,Visa,5000.0
4111000000000026,126,2029-03-31,Visa,5000.0
4111000000000027,127,2029-03-31,Visa,5000.0
4111000000000028,128,2029-03-31,Visa,5000.0
4111000000000029,129,2029-03-31,Visa,5000.0
4111000000000030,130,2029-03-31,Visa,5000.0
4111000000000031,131,2029-03-31,Visa,5000.0
4111000000000032,132,2029-03-31,Visa,5000.0
4111000000000033,133,2029-03-31,Visa,5000.0
4111000000000034,134,2029-03-31,Visa,5000.0
4111000000000035,135,2029-03-31,Visa,5000.0
4111000000000036,136,2029-03-31,Visa,5000.0
4111000000000037,137,2029-03-31,Visa,5000.0
4111000000000038,138,2029-03-31,Visa,5000.0
4111000000000039,139,2029-03-31,Visa,5000.0
4111000000000040,140,2029-03-31,Visa,5000.0
4111000000000041,141,2029-03-31,Visa,5000.0
4111000000000042,142,2029-03-31,Visa,5000.0
4111000000000043,143,2029-03-31,Visa,5000.0
4111000000000044,144,2029-03-31,Visa,5000.0
4111000000000045,145,2029-03-31,Visa,5000.0
4111000000000046,146,2029-03-31,Visa,5000.0
4111000000000047,147,2029-03-31,Visa,5000.0
4111000000000048,148,2029-03-31,Visa,5000.0
4111000000000049,149,2029-03-31,Visa,5000.0
4111000000000050,150,2029-03-31,Visa,5000.0
4111000000000051,151,2029-03-31,Visa,5000.0
4111000000000052,152,2029-03-31,Visa,5000.0
4111000000000053,153,2029-03-31,Visa,5000.0
4111000000000054,154,2029-03-31,Visa,5000.0
4111000000000055,155,2029-03-31,Visa,5000.0
4111000000000056,156,2029-03-31,Visa,5000.0
4111000000000057,157,2029-03-31,Visa,5000.0
4111000000000058,158,2029-03-31,Visa,5000.0
4111000000000059,159,2029-03-31,Visa,5000.0
4111000000000060,160,2029-03-31,Visa,5000.0
4111000000000061,161,2029-03-31,Visa,5000.0
4111000000000062,162,2029-03-31,Visa,5000.0
4111000000000063,163,2029-03-31,Visa,5000.0
4111000000000064,164,2029-03-31,Visa,5000.0
4111000000000065,165,2029-03-31,Visa,5000.0
4111000000000066,166,2029-03-31,Visa,5000.0
4111000000000067,167,2029-03-31,Visa,5000.0
4111000000000068,168,2029-03-31,Visa,5000.0
4111000000000069,169,2029-03-31,Visa,5000.0
4111000000000070,170,2029-03-31,Visa,5000.0
4111000000000071,171,2029-03-31,Visa,5000.0
4111000000000072,172,2029-03-31,Visa,5000.0
4111000000000073,173,2029-03-31,Visa,5000.0
4111000000000074,174,2029-03-31,Visa,5000.0
4111000000000075,175,2029-03-31,Visa,5000.0
4111000000000076,176,2029-03-31,Visa,5000.0
4111000000000077,177,2029-03-31,Visa,5000.0
4111000000000078,178,2029-03-31,Visa,5000.0
4111000000000079,179,2029-03-31,Visa,5000.0
4111000000000080,180,2029-03-31,Visa,5000.0
4111000000000081,181,2029-03-31,Visa,5000.0
4111000000000082,182,2029-03-31,Visa,5000.0
4111000000000083,183,2029-03-31,Visa,5000.0
4111000000000084,184,2029-03-31,Visa,5000.0
4111000000000085,185,2029-03-31,Visa,5000.0
4111000000000086,186,2029-03-31,Visa,5000.0
4111000000000087,187,2029-03-31,Visa,5000.0
4111000000000088,188,2029-03-31,Visa,5000.0
4111000000000089,189,2029-03-31,Visa,5000.0
4111000000000090,190,2029-03-31,Visa,5000.0
4111000000000091,191,2029-03-31,Visa,5000.0
4111000000000092,192,2029-03-31,Visa,5000.0
4111000000000093,193,2029-03-31,Visa,5000.0
4111000000000094,194,2029-03-31,Visa,5000.0
4111000000000095,195,2029-03-31,Visa,5000.0
4111000000000096,196,2029-03-31,Visa,5000.0
4111000000000097,197,2029-03-31,Visa,5000.0
4111000000000098,198,2029-03-31,Visa,5000.0
4111000000000099,199,2029-03-31,Visa,5000.0
